AP_max,AP_mean,AP_min,EBP_max,EBP_mean,EBP_min,ESR_max,ESR_mean,ESR_min,RPI_max,RPI_mean,RPI_min,TeamID,USA_max,USA_mean,USA_min
35.0,35.0,35.0,300,287.22,271,317,304.91,288,299,269.57,230,1373,35.0,35.0,35.0
35.0,35.0,35.0,70,40.33,25,124,87.82,52,117,82.07,54,1374,35.0,35.0,35.0
35.0,35.0,35.0,254,221.89,198,239,220.82,198,283,254.64,215,1375,35.0,35.0,35.0
35.0,35.0,35.0,103,81.33,56,103,85.64,69,90,61.07,40,1376,35.0,35.0,35.0
35.0,35.0,35.0,131,75.06,54,108,87.45,79,118,99.36,87,1377,35.0,35.0,35.0
35.0,35.0,35.0,322,272.33,162,304,287.82,273,325,294.93,270,1378,35.0,35.0,35.0
35.0,35.0,35.0,323,273.61,242,231,204.0,189,272,217.64,189,1379,35.0,35.0,35.0
35.0,35.0,35.0,323,307.94,289,310,280.36,236,331,296.21,244,1380,35.0,35.0,35.0
35.0,35.0,35.0,319,306.78,288,259,245.09,208,276,211.79,58,1381,35.0,35.0,35.0
35.0,35.0,35.0,66,55.89,45,60,44.18,25,76,40.0,21,1382,35.0,35.0,35.0
35.0,35.0,35.0,321,301.11,279,305,289.64,269,335,287.86,262,1383,35.0,35.0,35.0
35.0,35.0,35.0,225,196.33,178,203,185.27,159,180,160.14,116,1384,35.0,35.0,35.0
35.0,35.0,35.0,96,78.33,62,129,91.0,62,103,64.71,18,1385,35.0,35.0,35.0
35.0,35.0,35.0,160,141.67,113,202,177.27,152,223,187.57,146,1386,35.0,35.0,35.0
35.0,35.0,35.0,219,162.5,130,206,162.18,134,197,155.57,126,1387,35.0,35.0,35.0
35.0,35.0,35.0,228,197.83,163,273,235.09,176,281,245.43,203,1389,35.0,35.0,35.0
35.0,35.0,35.0,164,120.22,97,225,128.82,94,210,125.86,75,1390,35.0,35.0,35.0
35.0,35.0,35.0,324,310.67,289,326,299.36,244,329,298.93,255,1391,35.0,35.0,35.0
35.0,35.0,35.0,224,207.22,178,277,243.82,213,245,222.43,180,1392,35.0,35.0,35.0
35.0,35.0,35.0,69,55.56,49,58,47.82,23,47,32.57,11,1393,35.0,35.0,35.0
35.0,35.0,35.0,331,298.33,253,327,306.27,274,349,335.0,317,1394,35.0,35.0,35.0
24.0,17.25,10.0,22,17.83,11,33,23.73,12,29,18.57,6,1395,25.0,15.71,8.0
35.0,35.0,35.0,92,66.56,30,94,72.82,57,52,36.5,11,1396,35.0,35.0,35.0
24.0,19.07,13.0,52,24.56,12,19,12.91,10,16,11.71,8,1397,23.0,18.36,12.0
35.0,35.0,35.0,271,246.17,208,261,221.45,177,236,196.0,147,1398,35.0,35.0,35.0
35.0,35.0,35.0,216,190.06,145,173,150.0,120,176,145.93,102,1399,35.0,35.0,35.0
35.0,35.0,35.0,53,40.44,34,39,35.36,26,65,50.79,36,1400,35.0,35.0,35.0
35.0,35.0,35.0,228,201.72,183,255,224.18,181,342,269.5,214,1402,35.0,35.0,35.0
24.0,13.8,6.0,21,13.0,8,17,11.64,4,45,23.71,12,1403,22.0,12.86,6.0
35.0,35.0,35.0,301,261.44,186,326,312.82,292,332,307.29,292,1404,35.0,35.0,35.0
35.0,35.0,35.0,198,141.22,112,146,113.64,91,186,105.93,66,1405,35.0,35.0,35.0
35.0,35.0,35.0,134,102.78,77,181,145.64,90,154,99.29,29,1406,35.0,35.0,35.0
35.0,35.0,35.0,187,161.17,111,256,226.73,197,292,238.79,194,1407,35.0,35.0,35.0
35.0,35.0,35.0,237,159.44,134,177,131.64,68,175,124.93,88,1408,35.0,35.0,35.0
35.0,35.0,35.0,135,116.28,96,148,119.27,85,153,107.43,71,1409,35.0,35.0,35.0
35.0,35.0,35.0,274,257.28,242,232,216.45,197,278,239.21,196,1410,35.0,35.0,35.0
35.0,35.0,35.0,247,211.56,177,346,268.64,237,268,223.93,165,1411,35.0,35.0,35.0
35.0,35.0,35.0,133,111.78,96,181,152.55,123,244,190.07,155,1412,35.0,35.0,35.0
35.0,35.0,35.0,298,191.67,158,149,122.27,106,122,75.64,26,1413,35.0,35.0,35.0
35.0,35.0,35.0,190,169.83,140,245,209.91,179,204,160.43,119,1414,35.0,35.0,35.0
35.0,35.0,35.0,303,274.56,217,323,310.64,279,321,292.29,258,1415,35.0,35.0,35.0
35.0,35.0,35.0,101,80.22,56,85,73.36,52,84,63.07,47,1416,35.0,35.0,35.0
35.0,35.0,35.0,82,58.33,45,61,50.36,43,178,81.14,37,1418,35.0,35.0,35.0
35.0,35.0,35.0,246,224.67,202,273,230.0,184,320,256.86,195,1419,35.0,35.0,35.0
35.0,35.0,35.0,204,182.28,160,154,131.82,107,230,172.29,111,1420,35.0,35.0,35.0
35.0,35.0,35.0,180,146.11,92,161,127.36,103,217,137.43,105,1421,35.0,35.0,35.0
35.0,35.0,35.0,159,113.28,87,106,84.73,66,144,97.86,65,1422,35.0,35.0,35.0
35.0,35.0,35.0,281,238.83,167,326,290.91,264,340,282.5,245,1423,35.0,35.0,35.0
35.0,35.0,35.0,114,84.39,62,108,92.91,72,167,129.21,87,1424,35.0,35.0,35.0
35.0,35.0,35.0,133,110.78,89,163,140.73,121,166,128.5,59,1426,35.0,35.0,35.0
35.0,35.0,35.0,287,214.89,190,255,192.73,155,284,226.93,182,1427,35.0,35.0,35.0
35.0,35.0,35.0,100,77.39,63,76,65.91,44,63,53.21,34,1428,35.0,35.0,35.0
35.0,35.0,35.0,156,138.0,120,165,144.0,115,219,166.86,126,1429,35.0,35.0,35.0
35.0,35.0,35.0,137,105.5,86,128,113.82,94,102,80.29,67,1430,35.0,35.0,35.0
35.0,35.0,35.0,270,212.22,120,304,287.27,273,320,287.93,213,1431,35.0,35.0,35.0
35.0,35.0,35.0,134,107.44,69,134,113.18,92,138,119.71,97,1433,35.0,35.0,35.0
35.0,35.0,35.0,163,127.94,80,216,190.91,160,187,159.14,72,1434,35.0,35.0,35.0
35.0,35.0,35.0,93,74.44,27,187,138.55,103,175,138.64,104,1435,35.0,35.0,35.0
35.0,35.0,35.0,81,66.22,49,73,56.45,45,85,61.36,44,1436,35.0,35.0,35.0
18.0,5.94,1.0,9,3.83,2,10,2.09,1,25,6.43,1,1438,25.0,6.94,1.0
35.0,35.0,35.0,35,24.22,12,73,46.64,24,109,74.36,51,1439,35.0,35.0,35.0
35.0,35.0,35.0,343,332.94,318,304,286.09,263,313,292.21,269,1440,35.0,35.0,35.0
35.0,35.0,35.0,322,299.06,275,219,199.91,187,220,192.64,139,1441,35.0,35.0,35.0
35.0,35.0,35.0,324,266.33,225,256,236.18,178,302,260.14,151,1442,35.0,35.0,35.0
35.0,35.0,35.0,136,76.0,55,81,66.18,48,88,54.64,38,1443,35.0,35.0,35.0
35.0,35.0,35.0,194,175.56,145,195,173.27,148,192,169.21,141,1444,35.0,35.0,35.0
35.0,35.0,35.0,261,202.72,158,166,136.64,109,167,106.79,38,1447,35.0,35.0,35.0
35.0,35.0,35.0,95,85.22,72,153,140.64,133,170,139.21,116,1448,35.0,35.0,35.0
35.0,35.0,35.0,247,152.28,109,83,59.0,41,87,56.43,38,1449,35.0,35.0,35.0
35.0,35.0,35.0,281,219.5,185,201,177.55,131,186,158.86,129,1450,35.0,35.0,35.0
35.0,35.0,35.0,179,140.33,112,211,163.27,122,284,208.07,148,1451,35.0,35.0,35.0
35.0,35.0,35.0,264,239.72,196,328,308.55,270,346,320.79,284,1453,35.0,35.0,35.0
35.0,35.0,35.0,275,252.67,230,263,245.55,224,254,197.86,77,1454,35.0,35.0,35.0
35.0,35.0,35.0,196,159.44,117,135,109.09,69,115,87.14,55,1456,35.0,35.0,35.0
35.0,35.0,35.0,227,157.72,115,205,170.36,139,209,172.86,146,1457,35.0,35.0,35.0
35.0,35.0,35.0,84,63.83,33,135,106.18,79,163,125.0,84,1458,35.0,35.0,35.0
35.0,35.0,35.0,239,174.72,139,127,112.0,83,166,124.07,91,1459,35.0,35.0,35.0
35.0,35.0,35.0,176,151.44,126,128,98.55,73,193,113.5,61,1460,35.0,35.0,35.0
35.0,35.0,35.0,168,148.22,136,104,87.27,74,111,76.43,50,1461,35.0,35.0,35.0
35.0,35.0,35.0,176,131.28,88,216,184.09,118,232,197.14,164,1463,35.0,35.0,35.0
35.0,35.0,35.0,322,305.56,239,336,318.18,291,346,323.5,285,1464,35.0,35.0,35.0
